ID,trial,day,t_point,backg,loc,line_cross,shel_dur,sex,mass,mass_sc,trial_series,t_point_sc
1,1,08/09/2016,13,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.14993410937525256
1,1,08/09/2016,13,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.14993410937525256
1,1,08/09/2016,14,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.2998682187505051
1,1,08/09/2016,14,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.2998682187505051
1,1,08/09/2016,14,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.2998682187505051
1,1,08/09/2016,14,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.2998682187505051
1,1,08/09/2016,15,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.44980232812575766
1,1,08/09/2016,15,Dark,Outer,3,0,Male,1182.9,0.3892876116976006,1-1,0.44980232812575766
1,1,08/09/2016,15,Dark,Inner,11,0,Male,1182.9,0.3892876116976006,1-1,0.44980232812575766
1,1,08/09/2016,15,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.44980232812575766
1,1,08/09/2016,16,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.5997364375010102
1,1,08/09/2016,16,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.5997364375010102
1,1,08/09/2016,16,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.5997364375010102
1,1,08/09/2016,16,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.5997364375010102
1,1,08/09/2016,17,Dark,Inner,2,0,Male,1182.9,0.3892876116976006,1-1,0.7496705468762628
1,1,08/09/2016,17,Dark,Outer,4,0,Male,1182.9,0.3892876116976006,1-1,0.7496705468762628
1,1,08/09/2016,17,Light,Outer,1,0,Male,1182.9,0.3892876116976006,1-1,0.7496705468762628
1,1,08/09/2016,17,Light,Inner,4,0,Male,1182.9,0.3892876116976006,1-1,0.7496705468762628
1,1,08/09/2016,18,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.8996046562515153
1,1,08/09/2016,18,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.8996046562515153
1,1,08/09/2016,18,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.8996046562515153
1,1,08/09/2016,18,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.8996046562515153
1,1,08/09/2016,19,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.0495387656267678
1,1,08/09/2016,19,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.0495387656267678
1,1,08/09/2016,19,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.0495387656267678
1,1,08/09/2016,19,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.0495387656267678
1,1,08/09/2016,20,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.1994728750020205
1,1,08/09/2016,20,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.1994728750020205
1,1,08/09/2016,20,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.1994728750020205
1,1,08/09/2016,20,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.1994728750020205
1,1,08/09/2016,21,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.349406984377273
1,1,08/09/2016,21,Dark,Outer,1,0,Male,1182.9,0.3892876116976006,1-1,1.349406984377273
1,1,08/09/2016,21,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.349406984377273
1,1,08/09/2016,21,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.349406984377273
1,1,08/09/2016,22,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.4993410937525256
1,1,08/09/2016,22,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.4993410937525256
